City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Nouadhibou,MR,75.18,overcast clouds,20.931,-17.0347,El Medina
270,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
272,Baijiantan,CN,76.32,clear sky,45.6333,85.1833,
275,Ilebo,CD,70.36,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
276,Shache,CN,75.76,overcast clouds,38.4167,77.2406,Delong Hotel
281,Luganville,VU,80.02,broken clouds,-15.5333,167.1667,The Espiritu Hotel
283,Camaguey,CU,75.54,light rain,21.3808,-77.9169,Tararaco
285,Nacogdoches,US,74.84,clear sky,31.6002,-94.6335,The Fredonia Hotel & Convention Center
287,Korla,CN,78.35,overcast clouds,41.7597,86.1469,Gulisitan Hotel
290,Dongli,CN,75.18,clear sky,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
291,Guiglo,CI,72.82,broken clouds,6.5456,-7.4966,Hotel GBAOLY 2
293,Thinadhoo,MV,84.07,overcast clouds,0.5333,72.9333,
294,Saint-Leu,RE,70.63,few clouds,-21.15,55.2833,La Caz Oceane
295,Dicabisagan,PH,87.76,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
296,Salinopolis,BR,79.41,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
297,Conceicao Da Barra,BR,71.13,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
305,Zhanakorgan,KZ,82.24,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
306,Otane,NZ,71.01,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
307,Waddan,LY,72.55,clear sky,29.1614,16.139,محل الشريف محمد العايب
310,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
311,Victoria,HK,78.96,scattered clouds,22.2855,114.1577,Mini Central
312,Vao,NC,74.73,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
313,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
316,Santa Paula,US,72.7,clear sky,34.3542,-119.0593,Santa Paula Inn
319,Kharan,PK,86.14,clear sky,28.5833,65.4167,Dil Aram Bangla
320,Namibe,AO,70.59,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
321,Moree,AU,71.02,clear sky,-29.4667,149.85,Molika Springs Motel
322,Changtu,CN,77.72,broken clouds,42.7788,124.0955,Ming Yang Inn
328,Bestobe,KZ,72.14,clear sky,52.4994,73.0975,
329,Maragogi,BR,77.0,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
332,Carutapera,BR,77.72,overcast clouds,-1.195,-46.02,Lidera
333,Hervey Bay,AU,81.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
334,Sao Filipe,CV,75.13,overcast clouds,14.8961,-24.4956,Hotel Xaguate
335,Gouyave,GD,81.37,few clouds,12.1646,-61.7296,Rumboat Retreat
336,Virginia Beach,US,73.47,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
337,Beinamar,TD,75.69,overcast clouds,8.6698,15.3813,
338,Marawi,PH,81.59,scattered clouds,7.9986,124.2928,Derogongan Residence
339,Santo Antonio Do Ica,BR,72.55,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
342,Touros,BR,77.16,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
345,Hami,CN,80.65,overcast clouds,42.8,93.45,Laoyutang Resort
348,Fernandina Beach,US,78.89,clear sky,30.6697,-81.4626,Hampton Inn Amelia Island at Fernandina Beach
349,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
350,Komsomolskiy,UZ,74.12,overcast clouds,40.4272,71.7189,Ikathouse
352,Itarema,BR,76.69,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
358,Pointe-Noire,CG,77.07,broken clouds,-4.7761,11.8635,Kactus Lodge
359,Phan Thiet,VN,88.38,overcast clouds,10.9333,108.1,Hotel Saigon-PT
364,Mareeba,AU,83.44,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
367,Bambanglipuro,ID,85.73,scattered clouds,-7.95,110.2833,Puri Brata
368,Minab,IR,89.37,clear sky,27.1467,57.0801,Bam campground
369,Samarai,PG,82.98,clear sky,-10.6167,150.6667,Nuli Sapi
370,Tezu,IN,72.63,light rain,27.9167,96.1667,Circuit House
375,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
376,Namatanai,PG,85.06,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
382,Kirando,TZ,70.18,few clouds,-7.4167,30.6,Lakeshore Lodge
383,Kamalapuram,IN,87.67,haze,14.5833,78.65,Hotel
385,Ardakan,IR,84.83,clear sky,32.31,54.0175,Ardakan Hotel
386,Madang,PG,86.0,few clouds,-5.2246,145.7966,Comfort Inn Hotel
