City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Berlevag,NO,70.8578,29.0864,35.55,75,40,21.85,scattered clouds
198,Salalah,OM,17.0151,54.0924,82.49,74,40,5.75,scattered clouds
199,Dongobesh,TZ,-4.0667,35.3833,53.62,94,56,6.62,broken clouds
200,Isfana,KG,39.8386,69.5306,63.16,36,43,3.06,scattered clouds
201,Knysna,ZA,-34.0363,23.0471,68.22,33,0,10.42,clear sky
202,Aracati,BR,-4.5617,-37.7697,78.62,87,94,10.4,overcast clouds
203,Shahrud,IR,36.4182,54.9763,62.1,43,10,15.5,clear sky
204,Msanga,TZ,-6.05,36.0333,59.31,93,4,3.38,clear sky
205,Batie,BF,9.8833,-2.9167,78.3,66,27,4.81,scattered clouds
206,Kalabo,ZM,-14.97,22.6814,58.98,50,81,5.75,broken clouds
207,Chapais,CA,49.7834,-74.8492,51.58,85,100,6.15,overcast clouds
208,Khatanga,RU,71.9667,102.5,33.48,96,98,15.1,overcast clouds
209,Caravelas,BR,-17.7125,-39.2481,72.68,95,2,5.39,clear sky
210,Macapa,BR,0.0389,-51.0664,80.58,94,75,3.44,broken clouds
211,Denpasar,ID,-8.65,115.2167,87.46,74,20,9.22,few clouds
212,Kulhudhuffushi,MV,6.6221,73.07,82.15,80,100,22.15,moderate rain
213,Jawad,IN,24.6,74.85,93.15,24,1,11.12,clear sky
214,Kruisfontein,ZA,-34.0033,24.7314,63.88,29,0,11.99,clear sky
215,Chulym,RU,55.0997,80.9572,76.08,37,60,17.74,broken clouds
216,Plettenberg Bay,ZA,-34.0527,23.3716,69.42,36,0,10.51,clear sky
217,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.65,88,56,4.88,broken clouds
218,Ponta Delgada,PT,37.7333,-25.6667,59.72,67,20,19.57,few clouds
219,Kouqian,CN,43.6391,126.4578,72.97,25,79,15.95,broken clouds
220,Pangnirtung,CA,66.1451,-65.7125,18.43,80,90,7.9,overcast clouds
221,Warrington,GB,53.3925,-2.5802,56.12,92,48,8.05,scattered clouds
222,Meadow Lake,US,34.8014,-106.5436,81.88,8,3,8.46,clear sky
223,Bengkulu,ID,-3.8004,102.2655,84.33,67,95,5.64,overcast clouds
224,Roma,US,43.2128,-75.4557,53.74,93,100,13.8,overcast clouds
225,Katsuura,JP,35.1333,140.3,63.01,84,100,9.98,light rain
226,Kavieng,PG,-2.5744,150.7967,84.54,67,3,4.9,clear sky
227,Ilulissat,GL,69.2167,-51.1,24.82,74,15,6.91,few clouds
228,Kargasok,RU,59.0556,80.8572,67.1,58,98,16.08,overcast clouds
229,Mbandaka,CD,0.0487,18.2603,71.17,95,100,1.52,overcast clouds
230,Aran,AZ,40.6253,46.9756,58.55,72,75,4.61,broken clouds
231,Talara,PE,-4.5772,-81.2719,66.74,84,95,13.56,overcast clouds
232,Laguna,US,38.421,-121.4238,73.45,57,0,10.36,clear sky
233,Richards Bay,ZA,-28.783,32.0377,64.0,92,21,6.44,few clouds
234,Vishnyakovskiye Dachi,RU,55.7614,38.1344,46.62,95,100,11.14,overcast clouds
235,Chuy,UY,-33.6971,-53.4616,50.99,91,76,12.53,light rain
236,Tupik,RU,54.4253,119.9327,58.46,29,57,5.28,broken clouds
237,Bayonet Point,US,28.3267,-82.6834,78.03,85,0,9.01,clear sky
238,Henties Bay,NA,-22.116,14.2845,69.12,47,5,7.45,clear sky
239,Hasaki,JP,35.7333,140.8333,68.29,78,100,15.77,overcast clouds
240,Qandala,SO,11.472,49.8728,87.78,48,29,0.29,scattered clouds
241,Port Augusta,AU,-32.5,137.7667,65.43,42,0,4.52,clear sky
242,Rassvet,RU,46.8333,40.75,46.45,100,57,0.45,broken clouds
243,Mapastepec,MX,15.4333,-92.9,80.22,81,93,3.38,overcast clouds
244,Vadu Izei,RO,47.9333,23.8833,48.99,82,91,2.98,overcast clouds
245,Hambantota,LK,6.1241,81.1185,80.94,94,40,11.5,scattered clouds
246,Viedma,AR,-40.8135,-62.9967,44.06,82,6,5.17,clear sky
247,Solnechnoye,RU,43.276,46.507,58.39,82,100,7.0,overcast clouds
248,Zheleznodorozhnyy,RU,55.7503,38.0042,46.81,94,100,11.48,overcast clouds
249,Gunzenhausen,DE,49.1,10.75,57.79,96,54,4.29,broken clouds
250,Alyangula,AU,-13.8483,136.4192,84.63,60,16,14.23,few clouds
251,Geraldton,AU,-28.7667,114.6,72.01,64,40,5.75,scattered clouds
252,Lorengau,PG,-2.0226,147.2712,85.3,66,49,8.46,scattered clouds
253,Oranjemund,NA,-28.55,16.4333,72.05,29,0,9.91,clear sky
254,Kondinskoye,RU,59.6481,67.41,59.23,66,77,4.03,light rain
255,Makakilo City,US,21.3469,-158.0858,77.68,76,100,6.91,moderate rain
256,Taunggyi,MM,20.7833,97.0333,82.33,43,94,4.92,overcast clouds
257,Aneho,TG,6.2333,1.6,82.6,85,76,9.15,broken clouds
258,Banff,CA,51.1762,-115.5698,52.18,50,15,6.91,few clouds
259,Vanavara,RU,60.34,102.2797,68.83,33,45,11.1,scattered clouds
260,San Juan,AR,-31.5375,-68.5364,49.41,42,0,7.38,clear sky
261,Alice Springs,AU,-23.7,133.8833,72.95,27,10,13.8,clear sky
262,Kollegal,IN,12.15,77.1167,77.34,79,100,6.2,overcast clouds
263,Severnyy,RU,50.677,36.5532,42.84,65,0,8.95,clear sky
264,Wichita Falls,US,33.9137,-98.4934,78.26,66,0,13.8,clear sky
265,Kirkwall,GB,58.9848,-2.9587,50.05,93,100,16.11,light intensity drizzle
266,Nouadhibou,MR,20.931,-17.0347,75.18,38,100,20.71,overcast clouds
267,Imbituba,BR,-28.24,-48.6703,51.1,73,0,8.9,clear sky
268,Guerrero Negro,MX,27.9769,-114.0611,60.13,88,9,17.96,clear sky
269,Ambovombe,MG,-25.1667,46.0833,68.99,69,3,14.47,clear sky
270,Neiafu,TO,-18.65,-173.9833,81.28,57,20,11.5,few clouds
271,Mount Gambier,AU,-37.8333,140.7667,57.04,60,82,11.72,broken clouds
272,Baijiantan,CN,45.6333,85.1833,76.32,31,1,5.55,clear sky
273,Husavik,IS,66.0449,-17.3389,46.26,79,42,9.66,scattered clouds
274,Koppa,IN,13.5304,75.3633,67.98,97,100,2.93,overcast clouds
275,Ilebo,CD,-4.3167,20.5833,70.36,89,100,0.72,overcast clouds
276,Shache,CN,38.4167,77.2406,75.76,25,97,3.51,overcast clouds
277,Port Hardy,CA,50.6996,-127.4199,48.38,66,75,10.36,broken clouds
278,Snezhnogorsk,RU,69.1933,33.2531,33.58,69,99,17.2,overcast clouds
279,Mar Del Plata,AR,-38.0023,-57.5575,55.42,82,100,23.02,light rain
280,Ulladulla,AU,-35.35,150.4667,62.76,39,0,1.45,clear sky
281,Luganville,VU,-15.5333,167.1667,80.02,82,57,8.19,broken clouds
282,Pechenga,RU,69.5259,31.1703,36.07,66,69,19.62,broken clouds
283,Camaguey,CU,21.3808,-77.9169,75.54,94,88,6.91,light rain
284,Ust-Maya,RU,60.4167,134.5333,40.59,82,100,4.76,light rain
285,Nacogdoches,US,31.6002,-94.6335,74.84,93,0,4.56,clear sky
286,Rafaela,AR,-31.2503,-61.4867,48.97,54,10,4.0,clear sky
287,Korla,CN,41.7597,86.1469,78.35,18,100,6.91,overcast clouds
288,Yar-Sale,RU,66.8333,70.8333,38.57,98,100,3.33,overcast clouds
289,Hofn,IS,64.2539,-15.2082,45.52,87,7,13.15,clear sky
290,Dongli,CN,23.5656,116.8194,75.18,43,0,6.71,clear sky
291,Guiglo,CI,6.5456,-7.4966,72.82,100,64,2.13,broken clouds
292,Prince Rupert,CA,54.3161,-130.3201,44.29,85,100,29.93,overcast clouds
293,Thinadhoo,MV,0.5333,72.9333,84.07,76,94,18.03,overcast clouds
294,Saint-Leu,RE,-21.15,55.2833,70.63,78,17,14.54,few clouds
295,Dicabisagan,PH,17.0818,122.4157,87.76,67,95,11.14,overcast clouds
296,Salinopolis,BR,-0.6136,-47.3561,79.41,87,100,10.2,overcast clouds
297,Conceicao Da Barra,BR,-18.5933,-39.7322,71.13,96,4,4.88,clear sky
298,Zyryanka,RU,65.75,150.85,54.66,44,27,16.2,scattered clouds
299,Marienburg,PL,54.0359,19.0266,44.89,72,90,5.5,overcast clouds
300,Bilibino,RU,68.0546,166.4372,39.7,85,95,2.06,overcast clouds
301,Spencer,US,43.1414,-95.1444,64.51,42,0,10.36,clear sky
302,Bemidji,US,47.4736,-94.8803,49.77,81,0,0.0,clear sky
303,Rio Grande,BR,-32.035,-52.0986,51.94,77,93,28.63,overcast clouds
304,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,43,0,9.22,clear sky
305,Zhanakorgan,KZ,43.9098,67.2495,82.24,23,1,8.1,clear sky
306,Otane,NZ,-39.8833,176.6333,71.01,84,100,3.49,overcast clouds
307,Waddan,LY,29.1614,16.139,72.55,22,3,4.25,clear sky
308,Walvis Bay,NA,-22.9575,14.5053,72.55,24,4,11.5,clear sky
309,Iqaluit,CA,63.7506,-68.5145,24.53,79,75,8.05,broken clouds
310,Vila Velha,BR,-20.3297,-40.2925,71.55,94,75,3.44,broken clouds
311,Victoria,HK,22.2855,114.1577,78.96,68,41,1.01,scattered clouds
312,Vao,NC,-22.6667,167.4833,74.73,74,75,17.2,broken clouds
313,Padang,ID,-0.9492,100.3543,86.05,63,81,3.96,broken clouds
314,Wajima,JP,37.4,136.9,65.08,55,75,3.44,broken clouds
315,Cidreira,BR,-30.1811,-50.2056,53.42,76,32,24.11,scattered clouds
316,Santa Paula,US,34.3542,-119.0593,72.7,75,0,6.91,clear sky
317,New Richmond,US,45.123,-92.5366,62.04,54,0,4.61,clear sky
318,Zatoka,UA,46.0725,30.4654,61.18,77,97,4.81,overcast clouds
319,Kharan,PK,28.5833,65.4167,86.14,12,0,6.17,clear sky
320,Namibe,AO,-15.1961,12.1522,70.59,65,36,8.59,scattered clouds
321,Moree,AU,-29.4667,149.85,71.02,39,0,12.46,clear sky
322,Changtu,CN,42.7788,124.0955,77.72,20,84,19.26,broken clouds
323,Marfino,RU,55.7028,37.3822,46.54,84,100,13.42,light rain
324,Norman Wells,CA,65.282,-126.8329,62.64,29,75,0.0,broken clouds
325,Huarmey,PE,-10.0681,-78.1522,64.8,86,97,6.91,overcast clouds
326,Fairbanks,US,64.8378,-147.7164,48.54,67,75,5.75,shower rain
327,Hastings,GB,50.8552,0.5729,57.52,89,83,3.09,broken clouds
328,Bestobe,KZ,52.4994,73.0975,72.14,36,7,14.45,clear sky
329,Maragogi,BR,-9.0122,-35.2225,77.0,89,57,3.91,broken clouds
330,Beringovskiy,RU,63.05,179.3167,36.54,82,96,4.63,overcast clouds
331,Tazovskiy,RU,67.4667,78.7,45.84,87,94,5.79,overcast clouds
332,Carutapera,BR,-1.195,-46.02,77.72,88,91,7.11,overcast clouds
333,Hervey Bay,AU,-25.2986,152.8535,81.01,76,4,3.0,clear sky
334,Sao Filipe,CV,14.8961,-24.4956,75.13,75,100,7.4,overcast clouds
335,Gouyave,GD,12.1646,-61.7296,81.37,78,20,25.32,few clouds
336,Virginia Beach,US,36.8529,-75.978,73.47,83,81,11.3,broken clouds
337,Beinamar,TD,8.6698,15.3813,75.69,78,100,2.89,overcast clouds
338,Marawi,PH,7.9986,124.2928,81.59,67,50,2.98,scattered clouds
339,Santo Antonio Do Ica,BR,-3.1022,-67.9397,72.55,99,100,2.08,overcast clouds
340,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,77,75,10.36,broken clouds
341,Toamasina,MG,-18.1667,49.3833,68.0,94,75,6.91,light rain
342,Touros,BR,-5.1989,-35.4608,77.16,91,96,7.27,overcast clouds
343,Udachnyy,RU,66.4167,112.4,37.45,74,94,9.35,overcast clouds
344,Timra,SE,62.487,17.3257,35.28,64,2,11.5,clear sky
345,Hami,CN,42.8,93.45,80.65,16,95,14.32,overcast clouds
346,Lagoa,PT,39.05,-27.9833,57.96,60,96,28.3,light rain
